type,name,notice,furigana
燃やせるごみ,ガムテープ(紙製、布製),,か
燃やせるごみ,シリカゲル(乾燥剤),,か
燃やせるごみ,花材,,か
燃やせるごみ,貝殻,,か
燃やせるごみ,革製品,,か
燃やせるごみ,乾燥剤(シリカゲル),,か
燃やせるごみ,感熱紙,,か
燃やせるごみ,紙パック(内側が白色以外やコーティングのもの),飲料用,か
燃やせるごみ,木の枝,有料化除外品。長さ80cm、直径8cm以下。直径50cm以下に束ねて出す,き
燃やせるごみ,木の板,長さ80cm、幅30cm、厚さ3cm以下のもの。5枚まではS袋(10リットル)1枚、6〜10枚まではM袋(20リットル)の指定収集袋を貼って出す,き
燃やせるごみ,クッション,,く
燃やせるごみ,クレヨン,,く
燃やせるごみ,串(竹など),新聞紙等に包む,く
燃やせるごみ,靴,,く
燃やせるごみ,草,有料化除外品。透明または半透明の袋に入れて出す,く
燃やせるごみ,薬(飲み薬、貼り薬),,く
燃やせるごみ,ござ,1畳以下はミニ袋(5リットル)1枚、1畳を超えて2畳以下はS袋(10リットル)1枚の指定収集袋を貼って出す。2畳を超えるものは粗大ゴミへ,こ
燃やせるごみ,ゴム製品,,こ
燃やせるごみ,サンダル,,さ
燃やせるごみ,座布団,3枚までL袋(40リットル)1枚の指定収集袋を貼って出す,さ
燃やせるごみ,酒パック(内側が銀色やコーティングのもの),,さ
燃やせるごみ,湿布,,し
燃やせるごみ,写真,,し
燃やせるごみ,食器類(木製),,し
燃やせるごみ,食用油,固めるか、紙・布等にしみ込ませる,し
燃やせるごみ,すだれ,1畳以下はミニ袋(5リットル)1枚、1畳を超えて2畳以下はS袋(10リットル)1枚の指定収集袋を貼って出す。2畳を超えるものは粗大ゴミへ,す
燃やせるごみ,ストッキング,,す
燃やせるごみ,スリッパ,,す
燃やせるごみ,生花、花材,,せ
燃やせるごみ,生理用品,,せ
燃やせるごみ,剪定枝,有料化除外品。長さ80cm、直径8cm以下。直径50cm以下に束ねて出す,せ
燃やせるごみ,タバコの吸い殻,,た
燃やせるごみ,茶碗(木製),,ち
燃やせるごみ,使い捨てカイロ,,つ
燃やせるごみ,ティッシュペーパー,,て
燃やせるごみ,長靴,,な
燃やせるごみ,寝袋,,ね
燃やせるごみ,猫トイレの砂,,ね
燃やせるごみ,粘着テープ,,ね
燃やせるごみ,花火,水に浸して出す,は
燃やせるごみ,(宅配)ピザの箱,汚れのある紙類,ひ
燃やせるごみ,ビニールコーティング紙,,ひ
燃やせるごみ,不織布,,ふ
燃やせるごみ,ペットトイレの砂・シーツ,,へ
燃やせるごみ,ベルト,金属のバックル部分は不燃ゴミへ,へ
燃やせるごみ,ホース,,ほ
燃やせるごみ,ボール,,ほ
燃やせるごみ,保冷剤,,ほ
燃やせるごみ,防虫剤,,ほ
燃やせるごみ,まくら,,ま
燃やせるごみ,マスク,,ま
燃やせるごみ,マッチ,水に浸して出す,ま
燃やせるごみ,まな板(木製),,ま
燃やせるごみ,ムートン(羊皮),,む
燃やせるごみ,よしず,1畳以下はミニ袋(5リットル)1枚、1畳を超えて2畳以下はS袋(10リットル)1枚の指定収集袋を貼って出す。2畳を超えるものは粗大ゴミへ,よ
燃やせるごみ,ランドセル,,ら
燃やせるごみ,ローソク,,ろ
燃やせるごみ,綿(羽根)入りの衣類,,わ
燃やせるごみ,輪ゴム,,わ
有害ごみ,エアゾール缶,使い切って出す,え
有害ごみ,カセットボンベ,使い切って出す,か
有害ごみ,乾電池(マンガン、アルカリ、リチウム一次電池),ボタン式電池、充電式電池は販売店へ,か
有害ごみ,蛍光灯,,け
有害ごみ,殺虫剤　スプレー式,使い切って出す,さ
有害ごみ,スプレー缶,使い切って出す,す
有害ごみ,スプレー缶,使い切って出す,す
有害ごみ,体温計(水銀使用),,た
有害ごみ,ライター,使い切って出す,ら
